sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
755,10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture,1055.0,2021-04-28,1136.5,2025-07-06,
756,Singati Hydro Energy Limited,SHEL,Hydropower,330.0,2021-04-28,281.83,2025-07-07,
757,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydropower,384.0,2021-05-03,700.32,2025-07-07,
758,10% Nabil Debenture 2082,NBLD82,Corporate Debenture,1000.0,2021-05-27,1127.0,2025-06-25,
759,8.5% Sanima Debenture 2087,SBD87,Corporate Debenture,995.0,2021-06-02,1065.0,2025-07-07,
760,8.5% SBL Debenture 2084,SBLD84,Corporate Debenture,1000.0,2021-06-02,1041.0,2025-06-26,
761,CEDB Hydropower Development Company Limited,CHDC,Investment,457.0,2021-06-09,1719.9,2024-10-22,
762,Sunrise Bluechip Fund,SBCF,Mutual Fund,10.12,2021-06-09,9.99,2025-07-07,
763,Prabhu Select Fund,PSF,Mutual Fund,10.57,2021-06-22,11.12,2025-07-07,
764,NIBL Samriddhi Fund -2,NIBSF2,Mutual Fund,10.17,2021-06-27,8.72,2025-07-07,
765,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture,1155.0,2021-07-04,1181.9,2025-07-07,
766,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,JBLB,Microfinance,989.1,2021-07-29,1332.61,2025-07-07,
767,Union Life Insurance Company Limited,ULI,Life Insurance,362.8,2021-08-02,358.0,2023-05-08,
768,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Microfinance,296.7,2021-08-04,1169.0,2024-07-07,
769,9.5% NCC Debenture 2086,NCCD86,Corporate Debenture,1000.0,2021-08-11,1080.0,2025-07-07,
770,RBB Mutual Fund 1,RMF1,Mutual Fund,10.1,2021-09-02,9.77,2025-07-07,
771,Sanima Life Insurance Limited,SLI,Life Insurance,339.9,2021-09-02,396.8,2023-03-22,
772,NIC Asia Select Fund 30,NICSF,Mutual Fund,9.99,2021-09-07,9.32,2025-07-07,
