Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
160,2025-08-24,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,916,925,915,,2174,1994146,918.33,1205,826,2025-08-24T12:47:34.516978,915,51,917.27,
161,2025-08-24,2897,SMPDAP,Sampada Laghubitta Bittiya Sanstha Limited Promoter,518,518,518,,10000,5180000,518,550,495,2025-08-24T11:39:25.412359,518,1,518,
162,2025-08-24,2898,NRN,NRN Infrastructure and Development Limited,2173.1,2196.9,2170,,7783,16956816.2,2179.47,2444,878,2025-08-24T12:48:34.377118,2170,97,2178.69,
163,2025-08-24,2902,LUK,Laxmi Unnati Kosh,9.13,9.43,9.13,,8050,74012.5,9.25,11.97,8.7,2025-08-24T12:26:55.178456,9.25,9,9.19,
164,2025-08-24,2903,LEC,Liberty Energy Company Limited,244.7,247,239.4,,86149,20927662.7,242.48,340,195,2025-08-24T12:50:11.409959,239.4,288,242.92,
165,2025-08-24,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1100,1100,1086,,50,54650,1100,1144,1024.2,2025-08-24T11:29:31.800283,1086,2,1093,
166,2025-08-24,2907,SSHL,Shiva Shree Hydropower Ltd,194,194,190.5,,14048,2689244.8,192.76,313.8,191.1,2025-08-24T12:49:37.857454,191,115,191.43,
167,2025-08-24,2908,SGIC,Sanima GIC Insurance Limited,560.9,572,560.9,,6114,3455015.6,562.75,817.1,525,2025-08-24T12:44:53.413615,562,43,565.09,
168,2025-08-24,2913,MEN,Mountain Energy Nepal Limited,630,641,630,,12925,8187008.7,634.07,761,552.4,2025-08-24T12:47:41.703104,631.3,101,633.42,
169,2025-08-24,2914,UMRH,United IDI Mardi RB Hydropower Limited.,622.2,628.9,616,,3261,2023281.3,622.19,790,406.7,2025-08-24T12:39:13.123568,616,39,620.44,
170,2025-08-24,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,500,512,500,,3701,1878940.3,502.29,719.9,480.2,2025-08-24T12:40:50.588119,506,73,507.68,
171,2025-08-24,2917,CGH,Chandragiri Hills Limited,1058.5,1058.5,1030,,15223,15807504.4,1058.06,1186,842.1,2025-08-24T12:49:35.390548,1040,179,1038.39,
172,2025-08-24,2919,NIFRA,Nepal Infrastructure Bank Limited,283.9,283.9,279.29,,51826,14515096.68,279.58,337,240.1,2025-08-24T12:50:10.362066,279.5,310,280.07,
173,2025-08-24,2923,SLCF,Sanima Large Cap Fund,9.42,9.5,9.07,,66350,608539.5,9.59,11.99,8.75,2025-08-24T12:47:19.600415,9.1,38,9.17,
174,2025-08-24,2924,GLH,GreenLife Hydropower Limited,266,268.5,264.2,,7391,1964246.7,266.2,313,223.8,2025-08-24T12:44:00.455676,266,53,265.76,
175,2025-08-24,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2194,2194,2155,,322,696992.8,2194.28,2648.7,1950,2025-08-24T12:25:12.804327,2175,13,2164.57,
176,2025-08-24,2931,NIBD84,8.5% Nepal Investment Bank Debenture 2084,1039.9,1039.9,1033,,75,77647.5,1039.9,1077,999,2025-08-24T12:10:29.438079,1033,2,1035.3,
177,2025-08-24,2932,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,1058,1058,1058,,25,26450,1058,1163,1016,2025-08-24T11:20:58.376702,1058,1,1058,
178,2025-08-24,2933,KEF,Kumari Equity Fund,10.1,10.1,10.01,,68400,687829,10.06,10.76,7.91,2025-08-24T12:48:38.913028,10.01,20,10.05,
179,2025-08-24,2934,SHEL,Singati Hydro Energy Limited,307,310.9,305,,82581,25336393.3,307.32,347.8,222.1,2025-08-24T12:46:13.746006,306,261,306.8,
180,2025-08-24,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,726,749,726,,293,217630,740.73,885,660,2025-08-24T12:35:14.022521,745,13,742.76,
181,2025-08-24,2937,SBCF,Sunrise Bluechip Fund,9.12,9.12,9.07,,450,4086.5,9.3,12.03,8.36,2025-08-24T12:29:24.1687,9.07,3,9.08,
182,2025-08-24,3946,CHDC,CEDB Holdings Limited,2574,2590,2551,,7478,19211842.9,2574.03,2997.9,1538.6,2025-08-24T12:38:52.290157,2570,91,2569.11,
183,2025-08-24,4947,PSF,Prabhu Select Fund,11.45,11.45,11.24,,34800,391531,11.23,11.9,9.06,2025-08-24T12:26:55.126938,11.26,11,11.25,
184,2025-08-24,4949,NIBSF2,NIBL Samriddhi Fund -2,8.7,8.75,8.7,,1799,15656.3,8.85,9.6,7.65,2025-08-24T12:48:19.423616,8.7,7,8.7,
185,2025-08-24,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1455,1474.2,1455,,3163,4647397.4,1465.29,1855,1270.7,2025-08-24T12:49:59.85745,1472,68,1469.3,
186,2025-08-24,4959,NBLD87,8.5% Nepal Bank Debenture 2087,1015.5,1015.5,1015.5,,25,25387.5,1030,1083.3,987,2025-08-24T11:09:18.913887,1015.5,1,1015.5,
